sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,utcoff,stationid,New Station
Incheon,NA,NA,37.568819,126.637197,N,511,982,0,37.568819,126.637197,NA,NA,1506,TRUE
Ilo_UNAM,NA,NA,-17.601983,-71.338867,N,291,349,0,-17.601983,-71.338867,NA,NA,1507,TRUE
Agen_Palissy,NA,NA,44.200933,0.623925,N,538,579,0,44.200933,0.623925,NA,NA,1508,TRUE
Troodos_CAO,NA,NA,34.943056,32.865475,N,501,682,0,34.943056,32.865475,NA,NA,1509,TRUE
Banana_River,NA,NA,28.36699,-80.63328,N,474,319,0,28.36699,-80.63328,NA,NA,1510,TRUE
Ioannina_UoI,NA,NA,39.616,20.837,N,519,644,0,39.616,20.837,NA,NA,1511,TRUE
Kosetice_NAOK,NA,NA,49.5718,15.0813,N,559,625,0,49.5718,15.0813,NA,NA,1512,TRUE
Yerba_Loca,NA,NA,-33.33015,-70.2965,N,228,352,0,-33.33015,-70.2965,NA,NA,1513,TRUE
Greifswald_Univ,NA,NA,54.09126,13.40391,N,577,620,0,54.09126,13.40391,NA,NA,1514,TRUE
Chajnantor,NA,NA,-22.959314,-67.786118,N,269,360,0,-22.959314,-67.786118,NA,NA,1515,TRUE
Cerro_Tres_Puntas,NA,NA,-33.318,-70.233,N,228,352,0,-33.318,-70.233,NA,NA,1516,TRUE
PLOCAN_Tower,NA,NA,28.041118,-15.385113,N,473,528,0,28.041118,-15.385113,NA,NA,1517,TRUE
Aspendale_Mel_AU,NA,NA,-38.02464,145.1015,N,209,1041,0,-38.02464,145.1015,NA,NA,1518,TRUE
ICIMOD,NA,NA,27.646647,85.323269,N,472,850,0,27.646647,85.323269,NA,NA,1519,TRUE
ALERIA_MF,NA,NA,42.129,9.496,N,530,607,0,42.129,9.496,NA,NA,1520,TRUE
UCR_Santa_Cruz,NA,NA,10.283649,-85.595211,N,402,303,0,10.283649,-85.595211,NA,NA,1521,TRUE
Rambouillet_ACROSS,NA,NA,48.686604,1.704426,N,556,582,0,48.686604,1.704426,NA,NA,1522,TRUE
Vilnius,NA,NA,54.7236,25.3257,N,580,658,0,54.7236,25.3257,NA,NA,1523,TRUE
KITcube_WadiRum,NA,NA,29.738889,35.385833,N,480,690,0,29.738889,35.385833,NA,NA,1524,TRUE
Mohawk_Mountain,NA,NA,41.8214,-73.29733,N,528,342,0,41.8214,-73.29733,NA,NA,1525,TRUE
New_Haven,NA,NA,41.301111,-72.90288,N,526,344,0,41.301111,-72.90288,NA,NA,1526,TRUE
East_Brunswick,NA,NA,40.4623,-74.4294,N,523,339,0,40.4623,-74.4294,NA,NA,1527,TRUE
Flushing,NA,NA,40.734167,-73.8157,N,524,341,0,40.734167,-73.8157,NA,NA,1528,TRUE
University_of_Nizwa,NA,NA,22.9101,57.6741,N,453,762,0,22.9101,57.6741,NA,NA,1529,TRUE
SUNY_Rockland,NA,NA,41.134722,-74.0855,N,526,340,0,41.134722,-74.0855,NA,NA,1530,TRUE
Guadiana_UGR_4,NA,NA,37.915013,-3.22757,N,513,567,0,37.915013,-3.22757,NA,NA,1531,TRUE
REIMS_GSMA,NA,NA,49.243248,4.067048,N,558,590,0,49.243248,4.067048,NA,NA,1532,TRUE
San_Nicolas_Island,NA,NA,33.2799,-119.5223,N,494,195,0,33.2799,-119.5223,NA,NA,1533,TRUE
AAU_Jackros_ET,NA,NA,9.011667,38.820833,N,397,701,0,9.011667,38.820833,NA,NA,1534,TRUE
Pahia_TROPOS,NA,NA,-46.31,167.71,N,176,1114,0,-46.31,167.71,NA,NA,1535,TRUE
Oslo_MET_Norway,NA,NA,59.942,10.721,N,601,611,0,59.942,10.721,NA,NA,1536,TRUE
MAGIC_ORM_La_Palma,NA,NA,28.761767,-17.89067,N,476,520,0,28.761767,-17.89067,NA,NA,1537,TRUE
Chi_Kraeng_Station,NA,NA,13.225008,104.36535,N,414,911,0,13.225008,104.36535,NA,NA,1538,TRUE
ARM_La_Jolla,NA,NA,32.866906,-117.256723,N,492,202,0,32.866906,-117.256723,NA,NA,1539,TRUE
Innsbruck_MUI,NA,NA,47.264167,11.385694,N,550,613,0,47.264167,11.385694,NA,NA,1540,TRUE
Juan_Carlos_I_base,NA,NA,-62.663056,-60.389444,N,110,384,0,-62.663056,-60.389444,NA,NA,1541,TRUE
Eriswil_TROPOS,NA,NA,47.070514,7.872918,N,549,602,0,47.070514,7.872918,NA,NA,1542,TRUE
