sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,locationId,country,sensorType,continent,sensorId
LINCOLN_2,United States,Toledo NE Hwy20 & NW,44.624399,-123.940064,Y,539,180,,44.624399,-123.940064,,103219,356092,US,reference grade,north_america,2018386
Salem_4,United States,Woodburn Chemeketa C,45.143141,-122.854708,Y,542,184,,45.143141,-122.854708,,103220,356093,US,reference grade,north_america,2018388
BENTON,United States,Corvallis EPA Office,44.565803,-123.292706,Y,539,182,,44.565803,-123.292706,,103221,357252,US,reference grade,north_america,2022993
TILLAMOOK,United States,Tillamook Jr High Sc,45.454722,-123.82,Y,543,181,,45.454722,-123.82,,103222,357253,US,reference grade,north_america,2022994
YAMHILL,United States,McMinnville High Sch,45.21956,-123.19298,Y,542,183,,45.21956,-123.19298,,103223,364071,US,reference grade,north_america,2055489
South_East_Queensland_9,Australia,Nambour,-26.6429,152.9397,Y,254,1066,,-26.6429,152.9397,,103224,366617,AU,reference grade,unknown,2068065
SG,Singapore,Central,1.35735,103.82,Y,366,909,,1.35735,103.82,,103225,367925,SG,reference grade,unknown,2074035
SG_2,Singapore,West,1.35735,103.699997,Y,366,909,,1.35735,103.699997,,103226,367926,SG,reference grade,unknown,2074034
SG_3,Singapore,North,1.41803,103.82,Y,367,909,,1.41803,103.82,,103227,367927,SG,reference grade,unknown,2074038
SG_4,Singapore,East,1.35735,103.940002,Y,366,910,,1.35735,103.940002,,103228,367928,SG,reference grade,unknown,2074036
SG_5,Singapore,South,1.29587,103.82,Y,366,909,,1.29587,103.82,,103229,367929,SG,reference grade,unknown,2074037
GRANT_2,United States,Soap Lake,47.385564,-119.489855,Y,551,195,,47.385564,-119.489855,,103230,369994,US,reference grade,north_america,2084323
Wide_Bay_Burnett,Australia,Maryborough,-25.5159,152.6894,Y,259,1066,,-25.5159,152.6894,,103231,370287,AU,reference grade,unknown,2085651
BENTON_2,United States,Prosser-Highland Dr,46.2089,-119.75267,Y,546,194,,46.2089,-119.75267,,103232,371685,US,reference grade,north_america,2091608
New_York_Northern_New_Jersey_Long_Island_10,United States,Union City High Scho,40.770908,-74.036218,Y,524,340,,40.770908,-74.036218,,103233,387315,US,reference grade,north_america,2165515
New_York_Northern_New_Jersey_Long_Island_11,United States,Paterson,40.918381,-74.168092,Y,525,340,,40.918381,-74.168092,,103234,391818,US,reference grade,north_america,2189530
BEAVER,United States,Fort McIntosh,40.691857,-80.299211,Y,524,320,,40.691857,-80.299211,,103235,394208,US,reference grade,north_america,2203610
Pittsburgh_7,United States,North Braddock,40.402267,-79.860942,Y,523,321,,40.402267,-79.860942,,103236,398948,US,reference grade,north_america,2223244
HAWAII_3,United States,NAALEHU,19.060655,-155.579159,Y,437,79,,19.060655,-155.579159,,103237,399045,US,reference grade,north_america,2268613
HAWAII_4,United States,Kailua-Kona,19.618158,-155.971242,Y,439,78,,19.618158,-155.971242,,103238,401517,US,reference grade,north_america,2235164
Pittsburgh_8,United States,Avalon,40.499789,-80.071347,Y,523,321,,40.499789,-80.071347,,103239,402369,US,reference grade,north_america,2239461
POLK,United States,PUBLIC WORKS,41.667032,-93.599221,Y,528,277,,41.667032,-93.599221,,103241,454920,US,reference grade,north_america,2550886
DUVAL,United States,Sunny Acres,30.354614,-81.547789,Y,482,316,,30.354614,-81.547789,,103242,466157,US,reference grade,north_america,2615573
CLAY,United States,ASHLAND,33.2811,-85.8022,Y,494,302,,33.2811,-85.8022,,103243,483296,US,reference grade,north_america,2710676
VIRGINIA_BEACH,United States,Tidewater Regional O,36.84188,-76.18123,Y,508,333,,36.84188,-76.18123,,103244,494922,US,reference grade,north_america,2773091
FAIRFAX,United States,Northern VA Near Roa,38.7684,-77.18347,Y,516,330,,38.7684,-77.18347,,103245,494923,US,reference grade,north_america,2773092
RICHMOND,United States,Port Richmond,40.63306,-74.137156,Y,524,340,,40.63306,-74.137156,,103249,496096,US,reference grade,north_america,2780575
New_Castle,United States,Mechanicsburg,40.009544,-85.52347,Y,521,303,,40.009544,-85.52347,,103250,560579,US,reference grade,north_america,3114488
Louisville_4,United States,New Albany - 4H Road,38.3178,-85.8333,Y,514,302,,38.3178,-85.8333,,103251,561083,US,reference grade,north_america,3117049
RICHLAND,United States,Irmo DJJ,34.075687,-81.124988,Y,497,317,,34.075687,-81.124988,,103252,606552,US,reference grade,north_america,3356214
LOS_ANGELES,United States,Lancaster-Fairground,34.7254,-118.1786,Y,500,199,,34.7254,-118.1786,,103253,617545,US,reference grade,north_america,3411884
Philadelphia_Camden_Wilmington_6,United States,RIVER ROAD PARK; BEL,39.7611,-75.4919,Y,520,335,,39.7611,-75.4919,,103255,648561,US,reference grade,north_america,3564189
Bakersfield_2,United States,Mojave - Pat Ave,35.04944,-118.18893,Y,501,199,,35.04944,-118.18893,,103256,693070,US,reference grade,north_america,3796233
Far_North_Queensland,Australia,Cairns,-16.96162,145.7436,Y,293,1043,,-16.96162,145.7436,,103257,782009,AU,reference grade,unknown,4261563
Arima,Trinidad and Tobago,Arima,10.64849,-61.2844,Y,404,381,,10.64849,-61.2844,,103258,784127,TT,reference grade,unknown,5829966
Beocin,Serbia,Beocin-Centar,45.208386,19.721709,Y,542,640,,45.208386,19.721709,,103259,784128,RS,reference grade,unknown,4275772
Beograd_23,Serbia,Beograd Zeleno brdo,44.786488,20.521715,Y,540,643,,44.786488,20.521715,,103260,784151,RS,reference grade,unknown,4275763
Bor,Serbia,Bor Gradski park,44.076003,22.099514,Y,537,648,,44.076003,22.099514,,103261,784155,RS,reference grade,unknown,4275965
RS_4,Serbia,????a????ak ,43.893316,20.345513,Y,537,642,,43.893316,20.345513,,103262,784158,RS,reference grade,unknown,4275642
Kosjeric,Serbia,Kosjeric,44.002941,19.905174,Y,537,641,,44.002941,19.905174,,103263,784159,RS,reference grade,unknown,4276239
Kraljevo,Serbia,Kraljevo,43.728017,20.693602,Y,536,643,,43.728017,20.693602,,103264,784160,RS,reference grade,unknown,7018346
Novi_Pazar,Serbia,Novi Pazar,43.139704,20.516353,Y,534,643,,43.139704,20.516353,,103265,784162,RS,reference grade,unknown,4275871
Novi_Sad,Serbia,Novi Sad-Rumenacka,45.262626,19.819016,Y,542,640,,45.262626,19.819016,,103266,784163,RS,reference grade,unknown,4276205
Obrenovac_2,Serbia,Obrenovac-Centar,44.659478,20.204496,Y,540,642,,44.659478,20.204496,,103267,784164,RS,reference grade,unknown,4275788
RS_5,Serbia,Pan????evo Vatrogasni dom,44.85865045,20.64910144,Y,540,643,,44.85865045,20.64910144,,103268,784167,RS,reference grade,unknown,4275782
Pirot,Serbia,Pirot,43.158098,22.592406,Y,534,649,,43.158098,22.592406,,103269,784170,RS,reference grade,unknown,4275991
Couva,Trinidad and Tobago,Point Lisas,10.41603,-61.47468,Y,403,380,,10.41603,-61.47468,,103270,784171,TT,reference grade,unknown,4275801
Popovac,Serbia,Popovac,43.910592,21.508391,Y,537,646,,43.910592,21.508391,,103271,784172,RS,reference grade,unknown,4276128
Smederevo,Serbia,Smederevo-Centar,44.664084,20.926729,Y,540,644,,44.664084,20.926729,,103273,784176,RS,reference grade,unknown,4275712
Smederevo_2,Serbia,Smederevo Radinac,44.619408,20.969422,Y,539,644,,44.619408,20.969422,,103274,784177,RS,reference grade,unknown,4275640
Uzice,Serbia,Uzice,43.854255,19.843181,Y,536,640,,43.854255,19.843181,,103275,784179,RS,reference grade,unknown,4275984
Timaru,New Zealand,Washdyke Alpine,-44.356199,171.242334,Y,184,1125,,-44.356199,171.242334,,103276,784182,NZ,reference grade,unknown,4412951
Christchurch,New Zealand,Woolston,-43.557532,172.681343,Y,187,1130,,-43.557532,172.681343,,103277,784183,NZ,reference grade,unknown,4276085
St_Albans_EP,New Zealand,Christchurch - St Albans EP,-43.508568,172.635835,Y,187,1129,,-43.508568,172.635835,,103278,800587,NZ,reference grade,unknown,4366967
Ashburton,New Zealand,Ashburton,-43.912238,171.7552,Y,185,1127,,-43.912238,171.7552,,103279,811652,NZ,reference grade,unknown,4426894
Waimate,New Zealand,Waimate Kennedy,-44.732595,171.049778,Y,182,1124,,-44.732595,171.049778,,103280,830906,NZ,reference grade,unknown,4536802
GRAND,United States,Moab #7,38.566055,-109.537167,Y,515,226,,38.566055,-109.537167,,103281,875165,US,reference grade,north_america,4800118
