sitename,Country or Area Name,Full Address,Latitude,Longitude,Air Quality Monitor,IDXi,IDXj,SRadius,MERRALat,MERRALon,agencyname,stationid,utcoff,Continent
Kalemie,Congo (Kinshasa),Tanganyika,-5.9128,29.1906,N,337,670,0,-5.91,29.19,AAQE,1180574233,0,africa
Maquela_do_Zombo,Angola,Uíge,-6.05,15.1167,N,337,625,0,-6.05,15.12,AAQE,1024582197,0,africa
Wamba,Congo (Kinshasa),Haut-Uélé,2.1442,27.9929,N,370,667,0,2.14,27.99,AAQE,1180866253,0,africa
Keren,Eritrea,‘Anseba,15.7778,38.4581,N,424,700,0,15.78,38.46,AAQE,1232693598,0,africa
Gandajika,Congo (Kinshasa),Lomami,-6.75,23.9667,N,334,654,0,-6.75,23.97,AAQE,1180466776,0,africa
Mostaganem,Algeria,Mostaganem,35.9333,0.0833,N,505,577,0,35.93,0.08,AAQE,1012061703,0,africa
Vila_Junqueiro,Mozambique,Zambézia,-15.4669,36.9778,N,299,695,0,-15.47,36.98,AAQE,1508271174,0,africa
Bukoba,Tanzania,Kagera,-1.3333,31.8167,N,356,679,0,-1.33,31.82,AAQE,1834433264,0,africa
Dar_Naim,Mauritania,Nouakchott Nord,18.0973,-15.9327,N,433,526,0,18.1,-15.93,AAQE,1478696248,0,africa
Pinetown,South Africa,KwaZulu-Natal,-29.8167,30.85,N,242,676,0,-29.82,30.85,AAQE,1710417771,0,africa
Ramu,Kenya,Mandera,3.9375,41.2203,N,377,709,0,3.94,41.22,AAQE,1404221019,0,africa
Bandundu,Congo (Kinshasa),Kwilu,-3.3167,17.3667,N,348,633,0,-3.32,17.37,AAQE,1180219776,0,africa
Disuq,Egypt,Kafr ash Shaykh,31.1325,30.6478,N,486,675,0,31.13,30.65,AAQE,1818106054,0,africa
Touggourt,Algeria,Touggourt,33.1,6.0667,N,493,596,0,33.1,6.07,AAQE,1012546670,0,africa
Ikot_Ekpene,Nigeria,Akwa Ibom,5.1833,7.7167,N,382,602,0,5.18,7.72,AAQE,1566150661,0,africa
Sannar,Sudan,Sennar,13.55,33.6,N,415,685,0,13.55,33.6,AAQE,1729986512,0,africa
Lichinga,Mozambique,Niassa,-13.3,35.2456,N,308,690,0,-13.3,35.25,AAQE,1508041628,0,africa
Namacunde,Angola,Cunene,-17.3,15.85,N,292,628,0,-17.3,15.85,AAQE,1024843393,0,africa
Bondoukou,Côte d’Ivoire,Zanzan,8.0304,-2.8,N,393,568,0,8.03,-2.8,AAQE,1384649653,0,africa
Pemba,Mozambique,Cabo Delgado,-12.9667,40.5167,N,309,707,0,-12.97,40.52,AAQE,1508872233,0,africa
Bilbays,Egypt,Ash Sharqīyah,30.4167,31.5667,N,483,678,0,30.42,31.57,AAQE,1818863783,0,africa
Numan,Nigeria,Adamawa,9.4669,12.0328,N,399,616,0,9.47,12.03,AAQE,1566815415,0,africa
Nsele,Congo (Kinshasa),Kinshasa,-4.3744,15.4947,N,344,627,0,-4.37,15.49,AAQE,1180786924,0,africa
Mtwara,Tanzania,Mtwara,-10.2736,40.1828,N,320,706,0,-10.27,40.18,AAQE,1834044142,0,africa
Krugersdorp,South Africa,Gauteng,-26.1,27.7667,N,257,666,0,-26.1,27.77,AAQE,1710772829,0,africa
Atbara,Sudan,River Nile,17.7167,33.9833,N,432,686,0,17.72,33.98,AAQE,1729042522,0,africa
Shinyanga,Tanzania,Shinyanga,-3.6619,33.4231,N,346,684,0,-3.66,33.42,AAQE,1834972707,0,africa
Gemena,Congo (Kinshasa),Sud-Ubangi,3.25,19.7667,N,374,640,0,3.25,19.77,AAQE,1180000163,0,africa
Medea,Algeria,Médéa,36.2675,2.75,N,506,586,0,36.27,2.75,AAQE,1012758282,0,africa
Dabou,Côte d’Ivoire,Lagunes,5.3256,-4.3767,N,382,563,0,5.33,-4.38,AAQE,1384274793,0,africa
Moundou,Chad,Logone Occidental,8.5667,16.0833,N,395,628,0,8.57,16.08,AAQE,1148369114,0,africa
Koutiala,Mali,Sikasso,12.3833,-5.4667,N,411,560,0,12.38,-5.47,AAQE,1466253368,0,africa
Negage,Angola,Uíge,-7.7667,15.2667,N,330,626,0,-7.77,15.27,AAQE,1024978551,0,africa
Inezgane,Morocco,Souss-Massa,30.3658,-9.5381,N,482,546,0,30.37,-9.54,AAQE,1504786674,0,africa
Sinfra,Côte d’Ivoire,Sassandra-Marahoué,6.621,-5.9114,N,387,558,0,6.62,-5.91,AAQE,1384501295,0,africa
Medina_Estates,Ghana,Greater Accra,5.6658,-0.1631,N,384,576,0,5.67,-0.16,AAQE,1288850745,0,africa
Porto_Amboim,Angola,Cuanza-Sul,-10.7183,13.75,N,318,621,0,-10.72,13.75,AAQE,1024818756,0,africa
Cacula,Angola,Huíla,14,29,N,417,670,0,14,29,AAQE,1024048087,0,africa
Quimbele,Angola,Uíge,-6.5167,16.2167,N,335,629,0,-6.52,16.22,AAQE,1024357792,0,africa
Port_Gentil,Gabon,Ogooué-Maritime,-0.7167,8.7833,N,358,605,0,-0.72,8.78,AAQE,1266383028,0,africa
Tobruk,Libya,Al Buţnān,32.0833,23.95,N,489,654,0,32.08,23.95,AAQE,1434068493,0,africa
Gitega,Burundi,Gitega,-3.4283,29.925,N,347,673,0,-3.43,29.93,AAQE,1108778000,0,africa
Nkongsamba,Cameroon,Littoral,4.95,9.9333,N,381,609,0,4.95,9.93,AAQE,1120972098,0,africa
Tizi_Ouzou,Algeria,Tizi Ouzou,36.7167,4.05,N,508,590,0,36.72,4.05,AAQE,1012126997,0,africa
Agboville,Côte d’Ivoire,Lagunes,5.9333,-4.2167,N,385,564,0,5.93,-4.22,AAQE,1384823872,0,africa
Ipetumodu,Nigeria,Osun,7.4999,4.4472,N,391,591,0,7.5,4.45,AAQE,1566155015,0,africa
Ruhengeri,Rwanda,Northern Province,-1.5,29.6333,N,355,672,0,-1.5,29.63,AAQE,1646793543,0,africa
Djakotome,Benin,Couffo,6.9,1.7167,N,389,582,0,6.9,1.72,AAQE,1204961382,0,africa
El_Oued,Algeria,El Oued,33.3611,6.8606,N,494,599,0,33.36,6.86,AAQE,1012148937,0,africa
Laghouat,Algeria,Laghouat,33.8028,2.875,N,496,586,0,33.8,2.88,AAQE,1012233848,0,africa
Livingstone,Zambia,Southern,-17.85,25.8667,N,290,660,0,-17.85,25.87,AAQE,1894634581,0,africa
Londuimbali,Angola,Huambo,-12.2419,15.3133,N,312,626,0,-12.24,15.31,AAQE,1024280825,0,africa
Luuq,Somalia,Gedo,3.8005,42.55,N,376,713,0,3.8,42.55,AAQE,1706505283,0,africa
Idfu,Egypt,Aswān,24.9781,32.8789,N,461,682,0,24.98,32.88,AAQE,1818755693,0,africa
Larache,Morocco,Tanger-Tétouan-Al Hoceïma,35.1833,-6.15,N,502,557,0,35.18,-6.15,AAQE,1504637172,0,africa
Segou,Mali,Ségou,13.45,-6.2667,N,415,557,0,13.45,-6.27,AAQE,1466684950,0,africa
Bibemi,Cameroon,Nord,9.3167,13.8833,N,398,621,0,9.32,13.88,AAQE,1120285705,0,africa
